Website,Name,Category,Address,Village,Region,Email,Booking link,Phone number
http://www.alpenfrieden.com,Alpenfrieden Hotel,HotelPension,"Weissenbach/Riobianco - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Kirchgasse 2,Ahrntal/Valle Aurina,info@alpenfrieden.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C583904D97C111D1924D00805A150B0B.alpenfrieden-hotel.riobianco-weissenbach---valle-aurina-ahrntal,+39 0474 680070
http://www.sonnenschein.bz.it,Sonnenschein Appartements,BedBreakfast,"Weissenbach/Riobianco - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Bachlerzone 7,Ahrntal/Valle Aurina,info@sonnenschein.bz.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.393BB994D7B3770FACFC20EA4D7A630A.sonnenschein-appartements.riobianco-weissenbach---valle-aurina-ahrntal,+39 344 1726174
http://www.grosstahlhof.com,Großstahlhof,Farm,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Brunnberg 17,Ahrntal/Valle Aurina,info@grosstahlhof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838FEA97C111D1924D00805A150B0B.grossstahlhof.s--giovanni-st--johann,+39 0474 670094
http://www.bad-winkel.com,Hotel Bad Winkel,HotelPension,"Sand in Taufers/Campo Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Winkelweg 36,Ahrntal/Valle Aurina,info@bad-winkel.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.E75396358D8011D1AD760020AFF92740.hotel-bad-winkel.campo-tures-sand-in-taufers,+39 0474 678044
http://www.pensionanna.it,Anna Pension & Appartement,HotelPension,"Prettau/Predoi, Prettau/Predoi, Ahrntal/Valle Aurina",Neuhausergasse 47 a,Ahrntal/Valle Aurina,pensionanna@rolmail.net,https://suedtirol.info/en/en/accommodation/pdp-accommodation.8EB8F1D3A25D11D386AE00105ADF1907.anna-pension---appartement.predoi-prettau,+39 0474 654336
http://www.hotelhellweger.it,Hotel Hellweger,HotelPension,"Sand in Taufers/Campo Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Hugo-von-Taufers-Str. 22,Ahrntal/Valle Aurina,info@hotelhellweger.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.FF6801C9158FAF992DD278EA03051D82.hotel-hellweger.campo-tures-sand-in-taufers,+39 0474 678370
https://www.villagecharme.com,Apartment Village Charme,BedBreakfast,"Mühlen in Taufers/Molini di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Tauferer Straße 2,Ahrntal/Valle Aurina,felizitas@wieser.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.DD25B061AA6DE86E9A368F7264357C53.apartment-village-charme.molini-di-tures-muehlen-in-taufers,+39 348 5568266
http://www.app-seeber.it,App. Seeber Erika,BedBreakfast,"Rein in Taufers/Riva di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Reintalstraße 111,Ahrntal/Valle Aurina,seeber.herbert@gmail.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.D634C03223A579F64CF8DF5B8EAE1186.app--seeber-erika.riva-di-tures-rein-in-taufers,+39 0474 672576
http://www.xl-appartements.it,XL Appartements Sand,BedBreakfast,"Sand in Taufers/Campo Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Wiesenhofstraße 4,Ahrntal/Valle Aurina,info@xl-appartements.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.D580996BCD5EAA4B0122455247A1E6B0.xl-appartements-sand.campo-tures-sand-in-taufers,+39 348 6916987
https://sites.google.com/view/mariucci/startseite,App. Mariucci,BedBreakfast,"Sand in Taufers/Campo Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Dr.-Daimer-Straße 60,Ahrntal/Valle Aurina,info@mariucci.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.CA04FBF5EBCA11D1AD760020AFF92740.app--mariucci.campo-tures-sand-in-taufers,+39 335 5750026
http://www.lercherhof.com,Lercherhof,Farm,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Brunnberg 24,Ahrntal/Valle Aurina,kurt.obermair@aruba.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C583900D97C111D1924D00805A150B0B.lercherhof.s--giovanni-st--johann,+39 0474 671246
http://www.huberhof.info,Huberhof,Farm,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Bloßenberg 35,Ahrntal/Valle Aurina,info@huberhof.info,https://suedtirol.info/en/en/accommodation/pdp-accommodation.ACA268E358FB4090B08B9FD728F2A9E2.huberhof.s--giovanni-st--johann,+39 348 7746106
http://www.mitterlembach.com,Mitterlembach,Farm,"Luttach/Lutago, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Im Anger 8,Ahrntal/Valle Aurina,info@mitterlembach.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.A8A460FC4E8D4B40A519451420EF5661.mitterlembach.lutago-luttach,+39 0474 671623
http://www.garni-niederbrunner.com,Garni Niederbrunner,HotelPension,"Mühlen in Taufers/Molini di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Wierenweg 4,Ahrntal/Valle Aurina,info@garni-niederbrunner.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.6EB1860493D511D1AD760020AFF92740.garni-niederbrunner.molini-di-tures-muehlen-in-taufers,+39 0474 678151
http://www.residence-sand.it,Residence Sand,HotelPension,"Sand in Taufers/Campo Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Wiesenhofstr. 9,Ahrntal/Valle Aurina,info@residence-sand.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.6EB185E393D511D1AD760020AFF92740.residence-sand.campo-tures-sand-in-taufers,+39 335 366170
,Gästehaus  Daimer,BedBreakfast,"Sand in Taufers/Campo Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Dr.-Daimer-Str. 40,Ahrntal/Valle Aurina,restaurant.daimer@rolmail.net,https://suedtirol.info/en/en/accommodation/pdp-accommodation.6ABF1EA7963811D1AD760020AFF92740.gaestehaus--daimer.campo-tures-sand-in-taufers,+39 0474 678000
https://www.moarhof-hofkaeserei.it,Moarhof Hofkäserei,Farm,"Ahornach/Acereto, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Kirchdorf 21,Ahrntal/Valle Aurina,appartementmoarhof@gmail.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.5646721798994168C451E226372FD88F.moarhof-hofkaeserei.acereto-ahornach,+39 340 0538406
https://haus-pipperger.jimdosite.com,Pipperger Apartment Haus,BedBreakfast,"Steinhaus/Cadipietra, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Unterberg 42,Ahrntal/Valle Aurina,hauspipperger@gmail.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C83C37C0311D3AF4D00105A6765B5.pipperger-apartment-haus.cadipietra-steinhaus,+39 348 6960244
https://www.eppacherhof.com,App. Eppacherhof,Farm,"Rein in Taufers/Riva di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Bachertal 47,Ahrntal/Valle Aurina,auer.helmuth68@gmail.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.313679EDEB2B4A5BB82F53BF7CACDE6B.app--eppacherhof.riva-di-tures-rein-in-taufers,+39 0474 672514
http://www.oberschneider.it,Ferienhaus Oberschneider,BedBreakfast,"Mühlwald/Selva die Molini, Mühlwald/Selva dei Molini, Ahrntal/Valle Aurina",Selva di Fuori 169,Ahrntal/Valle Aurina,info@oberschneider.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.B7610B3651D70AA8FE9E99F3705BD172.ferienhaus-oberschneider.selva-die-molini-muehlwald,+39 376 0292635
http://www.landpalais.com,Das Land-Palais,BedBreakfast,"Mühlwald/Selva die Molini, Mühlwald/Selva dei Molini, Ahrntal/Valle Aurina",Moosmair 58,Ahrntal/Valle Aurina,info@landpalais.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.AD5502D225054EC88ADAC183D8C7514B.das-land-palais.selva-die-molini-muehlwald,+39 0474 656016
http://www.oberhof-rein.it,App. Oberhof,Farm,"Rein in Taufers/Riva di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Reintalstraße 189,Ahrntal/Valle Aurina,info@oberhof-rein.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.9910E41F3FF470F9A4D841FAEEAD9EC2.app--oberhof.riva-di-tures-rein-in-taufers,+39 0474 672582
http://www.schuesslerhof.it,App. Schüsslerhof,Farm,"Sand in Taufers/Campo Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Michlreiserweg 15,Ahrntal/Valle Aurina,info@schuesslerhof.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.5A503CC1069411D2AD760020AFF92740.app--schuesslerhof.campo-tures-sand-in-taufers,+39 0474 678772
http://www.voppichlhof.it,Voppichlhof,Farm,"St. Jakob/S. Giacomo - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Koflberg 10,Ahrntal/Valle Aurina,info@voppichlhof.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C840E7C0311D3AF4D00105A6765B5.voppichlhof.s--giacomo-st--jakob---valle-aurina-ahrntal,+39 0474 652297
http://www.seeberhof.com,Seeberhof,Farm,"St. Jakob/S. Giacomo - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Am Bühel 7,Ahrntal/Valle Aurina,info@seeberhof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C83DB7C0311D3AF4D00105A6765B5.seeberhof.s--giacomo-st--jakob---valle-aurina-ahrntal,+39 348 7754622
http://www.zimmerhofer.com,Zimmerhofer Residence deluxe,HotelPension,"Steinhaus/Cadipietra, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Klausbergstr. 53,Ahrntal/Valle Aurina,info@zimmerhofer.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C83907C0311D3AF4D00105A6765B5.zimmerhofer-residence-deluxe.cadipietra-steinhaus,+39 0474 652110
http://www.pension-ederhof.com,Ederhof Pension,HotelPension,"St. Peter/S. Pietro - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Im Stoana 61,Ahrntal/Valle Aurina,info@pension-ederhof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C83847C0311D3AF4D00105A6765B5.ederhof-pension.s--pietro-st--peter---valle-aurina-ahrntal,+39 349 2236385
http://www.stoana.it,STOANA Residence,HotelPension,"St. Jakob/S. Giacomo - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Oberbühel 20,Ahrntal/Valle Aurina,info@stoana.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C834E7C0311D3AF4D00105A6765B5.stoana-residence.s--giacomo-st--jakob---valle-aurina-ahrntal,+39 0474 650175
http://www.hotel-anabel.com,Anabel Alpine Life Hotel,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Steger Aue 27,Ahrntal/Valle Aurina,info@hotel-anabel.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838F2E97C111D1924D00805A150B0B.anabel-alpine-life-hotel.s--giovanni-st--johann,+39 0474 652295
https://www.platterhof.info,Platterhof mountain inn,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Bloßenberg 49,Ahrntal/Valle Aurina,info@platterhof.info,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838EC597C111D1924D00805A150B0B.platterhof-mountain-inn.s--giovanni-st--johann,+39 0474 671255
http://www.grossarzbachhof.com,Großarzbachhof,Farm,"Luttach/Lutago, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Herrenberg 5,Ahrntal/Valle Aurina,info@grossarzbachhof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838DE397C111D1924D00805A150B0B.grossarzbachhof.lutago-luttach,+39 0474 671177
http://www.hotelberger.it,Hotel Berger,HotelPension,"Rein in Taufers/Riva di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Reintalstraße 153,Ahrntal/Valle Aurina,info@hotelberger.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.BFE657A5917511D1AD760020AFF92740.hotel-berger.riva-di-tures-rein-in-taufers,+39 0474 672507
https://www.enzianhof.it,Enzianhof Nature Apartments,Farm,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina","S. Giovanni, Blossenberg 4",Ahrntal/Valle Aurina,info@enzianhof.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.B6E1A8F02F44069ACF1FAA611DDC99C8.enzianhof-nature-apartments.s--giovanni-st--johann,+39 345 9031300
https://www.niederunterer.com,App. Niederuntererhof,Farm,"Rein in Taufers/Riva di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Reintalstraße 89,Ahrntal/Valle Aurina,info@niederunterer.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.9480263BEC9A11D1AD760020AFF92740.app--niederuntererhof.riva-di-tures-rein-in-taufers,+39 371 4217087
http://www.lindemair.it,Lindemair Apartments,Farm,"Luttach/Lutago, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Dorfstraße 19,Ahrntal/Valle Aurina,info@lindemair.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.73AE699BED0ED6CE6959A11D9A345A3A.lindemair-apartments.lutago-luttach,+39 0474 250241
http://www.hotel-talblick.com,Talblick Hotel,HotelPension,"St. Jakob/S. Giacomo - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Am Achrain 8,Ahrntal/Valle Aurina,info@hotel-talblick.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C84747C0311D3AF4D00105A6765B5.talblick-hotel.s--giacomo-st--jakob---valle-aurina-ahrntal,+39 0474 650166
http://www.niederkoflhof.com,Niederkoflhof,Farm,"St. Jakob/S. Giacomo - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Koflberg 5,Ahrntal/Valle Aurina,info@niederkoflhof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C84177C0311D3AF4D00105A6765B5.niederkoflhof.s--giacomo-st--jakob---valle-aurina-ahrntal,+39 347 5433739
https://www.grossgasteigerhof.com,Grossgasteigerhof,Farm,"Mühlwald/Selva die Molini, Mühlwald/Selva dei Molini, Ahrntal/Valle Aurina",Strada Paese 69,Ahrntal/Valle Aurina,info@grossgasteigerhof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.200267C8D7FC4AE0B0EEC41408E4131C.grossgasteigerhof.selva-die-molini-muehlwald,+39 340 1502812
http://www.ortnerhof.net,Ortnerhof,Farm,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Rohrberg 32,Ahrntal/Valle Aurina,info@ortnerhof.net,https://suedtirol.info/en/en/accommodation/pdp-accommodation.FCD11A38FC775B04CF14668AD1B8D5F3.ortnerhof.s--giovanni-st--johann,+39 349 2721103
http://www.drumlerhof.com,Hotel Drumlerhof,HotelPension,"Sand in Taufers/Campo Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Rathausstr. 6,Ahrntal/Valle Aurina,info@drumlerhof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.E75396538D8011D1AD760020AFF92740.hotel-drumlerhof.campo-tures-sand-in-taufers,+39 0474 678068
http://www.koasa.it,KOASA-HOF  Apartment Superior XL,Farm,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina","Mühlegg 133, St. Johann/San Giovanni",Ahrntal/Valle Aurina,info@koasa.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C69CD4F9511F3D43E9283F925A756CEA.koasa-hof--apartment-superior-xl--maso-vacanze.s--giovanni-st--johann,+39 371 1461534
http://www.stegerhaus.com,Stegerhaus Family Hotel,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Steger Aue 12,Ahrntal/Valle Aurina,info@stegerhaus.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838EB797C111D1924D00805A150B0B.stegerhaus-family-hotel.s--giovanni-st--johann,+39 0474 652291
http://www.residencealpenrose.com,Alpenrose Residence,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Schachen 37,Ahrntal/Valle Aurina,info@residencealpenrose.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838EB197C111D1924D00805A150B0B.alpenrose-residence.s--giovanni-st--johann,+39 340 8000107
http://www.erlhof.com,Erlhof Appartement Hotel Deluxe,HotelPension,"Luttach/Lutago, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Im Anger 7,Ahrntal/Valle Aurina,info@erlhof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838D6097C111D1924D00805A150B0B.erlhof-appartement-hotel-deluxe.lutago-luttach,+39 0474 671221
,Garni Sonnklar,HotelPension,"Mühlwald/Selva die Molini, Mühlwald/Selva dei Molini, Ahrntal/Valle Aurina",Hauptort 21 B,Ahrntal/Valle Aurina,niederbrunner.p@dnet.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.AFB18B0F5FA411D3B66500105A7328DD.garni-sonnklar.selva-die-molini-muehlwald,+39 0474 653136
http://www.oberwirt.info,Pension Oberwirt,HotelPension,"Mühlwald/Selva die Molini, Mühlwald/Selva dei Molini, Ahrntal/Valle Aurina",Hauptort 33,Ahrntal/Valle Aurina,info@oberwirt.info,https://suedtirol.info/en/en/accommodation/pdp-accommodation.AFB18B0C5FA411D3B66500105A7328DD.pension-oberwirt.selva-die-molini-muehlwald,+39 0474 653106
http://www.redenhof.it,Redenhof,Farm,"Lappach/Lappago, Mühlwald/Selva dei Molini, Ahrntal/Valle Aurina",Lappach Lappago 232B,Ahrntal/Valle Aurina,info@redenhof.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.7A6EDA8B3128363009C57D3F52063731.redenhof.lappago-lappach,+39 348 0507219
http://www.oberkofl.com,Oberkoflhof & Almchalet Ahrntal valley,Farm,"St. Jakob/S. Giacomo - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina","Koflberg 6 (Oberkoflhof), Bergl 14 (Almchalet)",Ahrntal/Valle Aurina,info@oberkofl.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C83817C0311D3AF4D00105A6765B5.oberkoflhof---almchalet-ahrntal-valley.s--giacomo-st--jakob---valle-aurina-ahrntal,+39 0474 652411
http://www.buehelwirt.com,Bühelwirt Hotel,HotelPension,"St. Jakob/S. Giacomo - Ahrntal/Valle Aurina, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Am Bühel 30,Ahrntal/Valle Aurina,info@buehelwirt.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C835D7C0311D3AF4D00105A6765B5.buehelwirt-hotel.s--giacomo-st--jakob---valle-aurina-ahrntal,+39 0474 650309
http://www.innertrein.com,Innertrein App.,Farm,"Steinhaus/Cadipietra, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Großklausen 17,Ahrntal/Valle Aurina,info@innertrein.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.39EDBBC0F0DF4B48903FDD67194F261C.innertrein-app-.cadipietra-steinhaus,+39 340 5687121
http://www.residenceandrea.com,Andrea Residence,HotelPension,"Steinhaus/Cadipietra, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Unterberg 28,Ahrntal/Valle Aurina,info@residenceandrea.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.0CBB2AA566E74F2B89C9BFDC12557BA6.andrea-residence.cadipietra-steinhaus,+39 0474 652371
http://www.hotel-sonja.it,Sonja Hotel,HotelPension,"Steinhaus/Cadipietra, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Klausbergstr. 23,Ahrntal/Valle Aurina,info@hotel-sonja.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.FB118A226DF611D4AF4D00105A67658A.sonja-hotel.cadipietra-steinhaus,+39 0474 652184
https://www.sandgold.it/,SANDGOLD Alpine Glamping,Camping,"Kematen/Caminata di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Winkelweg 1,Ahrntal/Valle Aurina,welcome@sandgold.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.EB63F1539CD95BC63790040F97223A31.sandgold-alpine-glamping.caminata-di-tures-kematen,+39 0474 788008
https://www.alpenpalace.com,Alpenpalace Luxury Hideaway & Spa Retreat,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Gisse 32,Ahrntal/Valle Aurina,info@alpenpalace.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838EBE97C111D1924D00805A150B0B.alpenpalace-luxury-hideaway---spa-retreat.s--giovanni-st--johann,+39 0474 670230
http://www.hoteladler.net,Adler Hotel,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Ahrn 63,Ahrntal/Valle Aurina,info@hoteladler.net,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838E9197C111D1924D00805A150B0B.adler-hotel.s--giovanni-st--johann,+39 0474 671135
http://www.gallhaus.com,Molin Naturhotel,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Mühlegg 18,Ahrntal/Valle Aurina,info@hotelmolin.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838E7997C111D1924D00805A150B0B.molin-naturhotel.s--giovanni-st--johann,+39 0474 652151
http://www.hotel-am-see.it,Hotel am See,HotelPension,"Mühlwald/Selva die Molini, Mühlwald/Selva dei Molini, Ahrntal/Valle Aurina",Hauptstrasse 2a,Ahrntal/Valle Aurina,info@hotel-am-see.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.AFB18AF75FA411D3B66500105A7328DD.hotel-am-see.selva-die-molini-muehlwald,+39 0474 653166
http://www.oberlinderhof.it,Oberlinderhof,Farm,"Steinhaus/Cadipietra, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Linder Antratt 9,Ahrntal/Valle Aurina,oberlinderhof@rolmail.net,https://suedtirol.info/en/en/accommodation/pdp-accommodation.9CBE996EBF1A11D6AF4D00105A67658A.oberlinderhof.cadipietra-steinhaus,+39 347 0174522
http://www.loefflerblick.com,Löfflerblick Apartments & Wellness,HotelPension,"Steinhaus/Cadipietra, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",In der Baurschaft 1,Ahrntal/Valle Aurina,info@loefflerblick.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.7EB7D36B2C5F11D6AF4D00105A6765B5.loefflerblick-apartments---wellness.cadipietra-steinhaus,+39 0474 652156
http://www.apparthotel-sonnwies.com,Apparthotel Café Sonnwies,HotelPension,"Mühlwald/Selva die Molini, Mühlwald/Selva dei Molini, Ahrntal/Valle Aurina",Hauptort Schusterfeld 22,Ahrntal/Valle Aurina,info@apparthotel-sonnwies.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.568F3705CAD04584B169632A4727CC0B.apparthotel-cafe-sonnwies.selva-die-molini-muehlwald,+39 0474 653355
